re im logsig
1.4350000000 -0.5850000000 -3.064810
1.4450000000 -0.5850000000 -3.077760
1.4550000000 -0.5850000000 -3.090580
1.4650000000 -0.5850000000 -3.103240
1.4750000000 -0.5850000000 -3.115730
1.4850000000 -0.5850000000 -3.128030
1.4950000000 -0.5850000000 -3.140120
1.5050000000 -0.5850000000 -3.151970
1.5150000000 -0.5850000000 -3.163560
1.5250000000 -0.5850000000 -3.174870
1.5350000000 -0.5850000000 -3.185860
1.5450000000 -0.5850000000 -3.196500
1.5550000000 -0.5850000000 -3.206770
1.5650000000 -0.5850000000 -3.216640
1.5750000000 -0.5850000000 -3.226060
1.5850000000 -0.5850000000 -3.235000
1.5950000000 -0.5850000000 -3.243420
1.6050000000 -0.5850000000 -3.251290
1.6150000000 -0.5850000000 -3.258560
1.6250000000 -0.5850000000 -3.265210
1.6350000000 -0.5850000000 -3.271180
1.6450000000 -0.5850000000 -3.276450
1.6550000000 -0.5850000000 -3.280980
1.6650000000 -0.5850000000 -3.284740
1.6750000000 -0.5850000000 -3.287700
1.6850000000 -0.5850000000 -3.289840
1.6950000000 -0.5850000000 -3.291140
1.7050000000 -0.5850000000 -3.291600
1.7150000000 -0.5850000000 -3.291200
1.7250000000 -0.5850000000 -3.289960
1.7350000000 -0.5850000000 -3.287860
1.7450000000 -0.5850000000 -3.284990
1.7550000000 -0.5850000000 -3.281410
1.7650000000 -0.5850000000 -3.277040
1.7750000000 -0.5850000000 -3.271910
1.7850000000 -0.5850000000 -3.266070
1.7950000000 -0.5850000000 -3.259560
1.8050000000 -0.5850000000 -3.252410
1.8150000000 -0.5850000000 -3.244670
1.8250000000 -0.5850000000 -3.236390
1.8350000000 -0.5850000000 -3.227620
1.8450000000 -0.5850000000 -3.218400
1.8550000000 -0.5850000000 -3.208770
1.8650000000 -0.5850000000 -3.198790
1.8750000000 -0.5850000000 -3.188490
1.8850000000 -0.5850000000 -3.177910
1.8950000000 -0.5850000000 -3.167090
1.9050000000 -0.5850000000 -3.156060
1.9150000000 -0.5850000000 -3.144860
1.9250000000 -0.5850000000 -3.133520
1.9350000000 -0.5850000000 -3.122060
1.9450000000 -0.5850000000 -3.110510
1.9550000000 -0.5850000000 -3.098900
1.9650000000 -0.5850000000 -3.087240
1.9750000000 -0.5850000000 -3.075550
1.9850000000 -0.5850000000 -3.063850
1.9950000000 -0.5850000000 -3.052150
2.0050000000 -0.5850000000 -3.040480
2.0150000000 -0.5850000000 -3.028830
2.0250000000 -0.5850000000 -3.017220
1.4250000000 -0.5750000000 -3.043550
1.4350000000 -0.5750000000 -3.056840
1.4450000000 -0.5750000000 -3.070030
1.4550000000 -0.5750000000 -3.083110
1.4650000000 -0.5750000000 -3.096050
1.4750000000 -0.5750000000 -3.108840
1.4850000000 -0.5750000000 -3.121460
1.4950000000 -0.5750000000 -3.133890
1.5050000000 -0.5750000000 -3.146100
1.5150000000 -0.5750000000 -3.158080
1.5250000000 -0.5750000000 -3.169800
1.5350000000 -0.5750000000 -3.181210
1.5450000000 -0.5750000000 -3.192310
1.5550000000 -0.5750000000 -3.203050
1.5650000000 -0.5750000000 -3.213400
1.5750000000 -0.5750000000 -3.223310
1.5850000000 -0.5750000000 -3.232750
1.5950000000 -0.5750000000 -3.241690
1.6050000000 -0.5750000000 -3.250070
1.6150000000 -0.5750000000 -3.257850
1.6250000000 -0.5750000000 -3.264990
1.6350000000 -0.5750000000 -3.271450
1.6450000000 -0.5750000000 -3.277190
1.6550000000 -0.5750000000 -3.282160
1.6650000000 -0.5750000000 -3.286330
1.6750000000 -0.5750000000 -3.289660
1.6850000000 -0.5750000000 -3.292140
1.6950000000 -0.5750000000 -3.293730
